product_id,product_name,meat_type,product_type,who_eat,manufacturer
11163,"ГАЛЕРЕЯ ВКУСА Мясо птицы. Тушка утенка 1 сорт (заморож.) потр. (ф-л ""Птицеферма"") пакет",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
114893,"Ветчина из мяса птицы ГАЛЕРЕЯ ВКУСА ""Умка"" рублен. для питания детей дошкольного и школьного возраста вар. (порц.) 230г",птица,ветчина,дети,галерея вкуса
115760,"Сосиски ГАЛЕРЕЯ ВКУСА ""Умка"" для питания детей дошкольного и школьного возраста вар. (порц. ГМС) 160г",птица,сосиски,дети,галерея вкуса
12265,"П/ф нат. из мяса птицы для пит. детей дошк. и шк. возр. Тушка цыпленка ГАЛЕРЕЯ ВКУСА ""Корнишон"" мясокос. охл. (лот./мод.газ.ср.)",птица,полуфабрикаты и субпродукты,дети,галерея вкуса
12266,"Мясо птицы для пит. детей дошк. и шк. возр. Тушка ц/б ГАЛЕРЕЯ ВКУСА ""Корнишон"" зам. потр. вак/упак",бройлер,полуфабрикаты и субпродукты,дети,галерея вкуса
122788,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Ореховая"" мясная высший сорт в/к (в/у порц/нар) 220г",птица,колбасы,люди,галерея вкуса
122889,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Ореховая"" мясная высший сорт в/к (в/у порц.) 380г",птица,колбасы,люди,галерея вкуса
123231,"Сосиски ГАЛЕРЕЯ ВКУСА ""Алфавитки детские"" д/питания детей дошкольного и школьного возраста высший сорт вар. (ГМС/порц.) 230г",птица,сосиски,дети,галерея вкуса
123232,"Сосиски из мяса птицы ГАЛЕРЕЯ ВКУСА ""Баварские с сыром"" высший сорт (ГМС/порц.) 320г",птица,сосиски,люди,галерея вкуса
123233,"Колбаски салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Колбаски Охотничьи"" мясные высший сорт в/к (в/у порц.) 260г",птица,колбасы,люди,галерея вкуса
124340,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА ""Докторская Новая"" высший сорт вар. (порц.) 360г",птица,колбасы,люди,галерея вкуса
124342,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА ""Молочная Экстра"" высший сорт вар. (порц.) 360г",птица,колбасы,люди,галерея вкуса
124656,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА ""Ветчинная экстра"" высший сорт вар. (порц., ГМС) 420г",птица,колбасы,люди,галерея вкуса
124657,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Купеческая с сыром"" мясная высший сорт в/к (в/у порц.) 380г",птица,колбасы,люди,галерея вкуса
124658,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Боярская"" мясная высший сорт в/к (в/у) 380г",птица,колбасы,люди,галерея вкуса
12552,"П/ф быстрого пригот. из мяса птицы ГАЛЕРЕЯ ВКУСА ""Цыпленок Корнишон"" в маринаде крупнокуск. мясокос. охлажд. (вак. скин-уп)",птица,полуфабрикаты и субпродукты,люди,галерея вкуса
127136,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Пюре Умка"" мясное для питания детей дошкольного и школьного возраста вар. (порц.) 90г",птица,паштеты,дети,галерея вкуса
127137,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Боярская"" мясная высший сорт в/к (в/у порц/нар) 220г",птица,колбасы,люди,галерея вкуса
128255,"Колбаса ГАЛЕРЕЯ ВКУСА ""Алфавитка детская"" для питания детей дошкольного и школьного возраста высший сорт вар. (порц.) 280г",птица,колбасы,дети,галерея вкуса
12845,"Прод. разд.и обв. мяса птицы. Мясо беск. куск. груд. части утят  ФЕРМА ""Стейк утиный"" (охл.) (лоток, мод. газ. ср.)",утка,полуфабрикаты и субпродукты,люди,ферма
12848,"Мясо птицы. Окорочок утенка ФЕРМА (охл.) (лоток, мод. газ. ср.)",утка,полуфабрикаты и субпродукты,люди,ферма
129620,"Колбаска салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Биробиджанская"" сорт Экстра с/в (порц./ГМС) 180г",птица,колбасы,люди,галерея вкуса
131239,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Миланская экстра"" сорт Экстра с/в (ГМС) 180г",курица,колбасы,люди,галерея вкуса
131803,"Сосиски из мяса птицы ГАЛЕРЕЯ ВКУСА ""Тигры"" высший сорт (ГМС/порц.) 320г",птица,сосиски,люди,галерея вкуса
131899,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Сервелат Финский"" в/с в/к (в/у) 360г",птица,колбасы,люди,галерея вкуса
13258,Мясо птицы. Тушка утенка ФЕРМА (охл.) 1/с потр. (в/у),утка,полуфабрикаты и субпродукты,люди,ферма
13259,Мясо птицы. Тушка утенка ФЕРМА (зам.) 1/с потр. (в/у),утка,полуфабрикаты и субпродукты,люди,ферма
134459,"Ветчина из мяса птицы ГАЛЕРЕЯ ВКУСА ""Смешарики"" рублен. для питания детей дошкольного и школьного возраста вар. (порц.) 240г",птица,ветчина,дети,галерея вкуса
134464,"Изделие колбасное ГАЛЕРЕЯ ВКУСА ""Колбаса ""Смешарики"" высший сорт для питания детей дошкольного и школьного возраста вар. (порц., пакет) 220г",птица,колбасы,дети,галерея вкуса
13517,Полуфабрикат для кормления животных ГАЛЕРЕЯ ВКУСА из кост. остатка птиц (заморож.) (пакет),птица,полуфабрикаты и субпродукты,животные,галерея вкуса
135178,ГАЛЕРЕЯ ВКУСА Желудки мышечные утят зам. (лоток) 600г,утка,полуфабрикаты и субпродукты,люди,галерея вкуса
135179,"ГАЛЕРЕЯ ВКУСА Мясо птицы для питания детей дошк.и школьн.возраста. Филе малое цыпл.-бройлера (полим.лоток,ГМС) 600г",бройлер,полуфабрикаты и субпродукты,дети,галерея вкуса
135180,"Мясо птицы для питания детей дошк.и школьн.возраста. Бедро цыпл.-бройлера ГАЛЕРЕЯ ВКУСА охлажд. (полим.лоток,ГМС) 600г",бройлер,полуфабрикаты и субпродукты,дети,галерея вкуса
135181,"Мясо птицы для питания детей дошк.и школьн.возраста. Голень цыпл.-бройлера ГАЛЕРЕЯ ВКУСА охлажд. (полим.лоток,ГМС) 600г",бройлер,полуфабрикаты и субпродукты,дети,галерея вкуса
135182,"Мясо птицы для питания детей дошк.и школьн.возраста. Кусковое мясо бедра цыпл.-бройлера ГАЛЕРЕЯ ВКУСА охлажд. (полим.лоток,ГМС) 600г",бройлер,полуфабрикаты и субпродукты,дети,галерея вкуса
1365,ГАЛЕРЕЯ ВКУСА Мясо птицы. Гузка цыпленка-бройлера заморож. (лоток),бройлер,полуфабрикаты и субпродукты,дети,галерея вкуса
13750,"Голень цыплят-бройлеров ГАЛЕРЕЯ ВКУСА ""Европейская"" к/в (в/у)",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
138379,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Домашняя"" охлажд. сорт Экстра с/в (порц./ГМС) 160г",курица,колбасы,люди,галерея вкуса
13888,"Грудка цыплят-бройлеров ГАЛЕРЕЯ ВКУСА ""Европейская"" к/в (в/у)",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
139486,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Медовая"" сорт экстра (порц./ГМС) 160г",курица,колбасы,люди,галерея вкуса
139874,"Мясо птицы. ГАЛЕРЕЯ ВКУСА Гузка утенка (заморож.) (лоток, порц.) 800г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
139875,"Колбаска салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Парма"" сорт Экстра с/в (порц.) 180г",птица,колбасы,люди,галерея вкуса
142263,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА ""Мортаделла утиная"" в/с вар. порц.(и/о,МГС) 620г",утка,колбасы,люди,галерея вкуса
142264,"Продукт из субпродуктов птицы ГАЛЕРЕЯ ВКУСА ""Конфи. Желудки (утиные)"" охлажд. жар. (в/п, порц.) 280г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
145278,"Колбаска из мяса птицы ГАЛЕРЕЯ ВКУСА ""Фуэт утиный"" охлажд. сорт Экстра с/в (порц.) 180г",утка,колбасы,люди,галерея вкуса
146509,"Паштет ГАЛЕРЕЯ ВКУСА ""Утиный"" из мяса птицы вар. (порц.) 180г",утка,паштеты,люди,галерея вкуса
146511,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Pastete classic"" (охл.) вар. (в/у, порц.) 90г",птица,паштеты,люди,галерея вкуса
146512,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Pastete foie gras"" (охл.) вар. (в/у, порц.) 90г",птица,паштеты,люди,галерея вкуса
148423,"Паштет ГАЛЕРЕЯ ВКУСА ""Фуа-гра утиная. Мусс"" из мяса утят (охл.) вар. (в/у, порц.) 90г",утка,паштеты,люди,галерея вкуса
14870,"Мясо птицы. Тушка утки ГАЛЕРЕЯ ВКУСА ""Мулард зерновой откорм"" потр. охл. 1/с (вак.уп.)",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
148999,"Паштет из мяса птицы ВИТАЛЮР ""Классический"" (охл.) вар. (п/о,порц.) 180г",птица,паштеты,люди,виталюр
149000,"Паштет из мяса птицы ВИТАЛЮР ""Особый"" (охл.) вар. (п/о,порц.) 180г",птица,паштеты,люди,виталюр
14906,"П/ф из мяса утят ГАЛЕРЕЯ ВКУСА ""Тушка утенка, фаршированная яблоками"" быстрого пригот. фарширов. охл. (вак.уп.)",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
150143,Ветчина из мяса цыплят-бройлеров ГАЛЕРЕЯ ВКУСА для питания детей дошкольного и школьного возраста охл. рубленая высший сорт (Линейка Алфавитка) вар. (порц.) 240г,бройлер,ветчина,дети,галерея вкуса
154100,"Паштет ГАЛЕРЕЯ ВКУСА ""Французский de Luxe"" из мяса птицы (охл.) 180г",птица,паштеты,люди,галерея вкуса
154815,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Тоскана"" Охл. сорт Экстра с/в (мод. газ. ср. пакет) 180г",птица,колбасы,люди,галерея вкуса
15590,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА Крылышки ""Европейские"" цыпленка-бройлера к/в (в/у)",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
156534,"Колбаса из мяса цыплят-бройлеров ГАЛЕРЕЯ ВКУСА ""Salami Chips classic"" охлажд. сорт экстра с/в (пакет из пленки полим. многосл. бар., мод.газ.ср.) 30г",бройлер,колбасы,люди,галерея вкуса
156537,"Продукт из мяса птицы кусковой ГАЛЕРЕЯ ВКУСА ""Конфи. Утиное крыло"" охлажд. жар. (в/у) 280г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
159555,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Сервелат Финский утиный"" мясн. в/с б/об в/к (в/у порц.) 360г",утка,колбасы,люди,галерея вкуса
161221,"Полуфабрикат из мяса птицы для питания детей дошкольного и школьного возраста. Филе ГАЛЕРЕЯ ВКУСА ""Медальон"" натуральный бескостный крупнокусковой охлажд. (лоток, МГС) 600г",птица,полуфабрикаты и субпродукты,дети,галерея вкуса
162938,"Полуфабрикат натуральный из мяса птицы для питания детей дошкольного и школьного возраста ГАЛЕРЕЯ ВКУСА ""Азу"" бескостный мелкокусковой охлажд. (лот./мод.газ.ср.) 600г",птица,полуфабрикаты и субпродукты,дети,галерея вкуса
163583,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Рулет Элитный Люкс"" охл. высший сорт к/в (в/у) 480г",птица,рулеты,люди,галерея вкуса
164608,"Продукт из мяса цыплят-бройлеров ГАЛЕРЕЯ ВКУСА мякотный  ""Делис классик"" охлажденный высший сорт с/к порционный (в/у) 85г",бройлер,ветчина,люди,галерея вкуса
166164,"Продукт из мяса птицы кусковой ГАЛЕРЕЯ ВКУСА ""Конфи. Утиное крыло"" охлажд. запеченный (в/у) 280г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
166166,"Продукт из мяса птицы кусковой ГАЛЕРЕЯ ВКУСА ""Конфи. Утиный окорочок"" охл. запеченный (в/у) 460г",птица,полуфабрикаты и субпродукты,люди,галерея вкуса
170728,"Колбасное изделие вареное Сардельки ГАЛЕРЕЯ ВКУСА ""Алфавитки детские"" д/питания детей дошкольного и школьного возраста высший сорт охл. (пакет,мгс) 230гр",-,колбасы,дети,галерея вкуса
170729,"Паштет ГАЛЕРЕЯ ВКУСА ""Фуа-гра утиная"" из мяса утят (охл.) вар. (в/у) 90г",утка,паштеты,люди,галерея вкуса
172910,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Французский паштет с фуа-гра"" паштетные мясные печеночный пастер. лоток 160 г",птица,паштеты,люди,галерея вкуса
172911,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Mousse de Canard Mulard"" паштетные мясные печеночный пастер. лоток 160 г",птица,паштеты,люди,галерея вкуса
174968,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА Рулет ""Праздничный люкс"" охл. к/в (в/у) 480г",птица,рулеты,люди,галерея вкуса
175419,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Французский паштет с яблоком и инжиром"" паштетные мясные печеночный пастер. лоток 160 г",птица,паштеты,люди,галерея вкуса
177721,"Изделие колбасное из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаски ""Parma minis"" охлажд. сорт Экстра с/в пакет с перфорацией 60г",птица,колбасы,люди,галерея вкуса
178196,"Изделие колбасное из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаски ""Алфавитка для детей. Палочки-выручалочки""  д/питания детей школьного возраста охл. высший сорт п/к (пакет,ГМС) 90г",птица,колбасы,дети,галерея вкуса
178653,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Французский паштет с фуа-гра"" паштетные мясные печеночный пастер. лоток 146г",птица,паштеты,люди,галерея вкуса
178654,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Французский паштет с яблоком и инжиром"" паштетные мясные печеночный пастер. лоток 146г",птица,паштеты,люди,галерея вкуса
178900,"Продукты разделки и обвалки мяса птицы ГАЛЕРЕЯ ВКУСА Большое филе тушки уток ""Стейк из утки зернового откорма""  (охл.) (вак. скин-уп.) 380г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
179631,"П/ф нат. из мяса пт. для пит. детей дошк. и шк. возр. мясок. Филе грудной части цыпленка ФЕРМА (охл.) (лоток, мод. газ. ср.) 600г",птица,полуфабрикаты и субпродукты,дети,ферма
180047,"Сосиски из мяса птицы ГАЛЕРЕЯ ВКУСА ""Мортаделлия"" охл. высший сорт (пакет,мод.газ.ср.) 320г",птица,сосиски,люди,галерея вкуса
180048,"Изделие колбасное из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаска ""Фуэт"" охл. сорт Экстра с/в пакет с перфорацией 180г",птица,колбасы,люди,галерея вкуса
182106,"Прод. разд.и обв. мяса птицы. Плечевая часть крыла тушки ц/б ФЕРМА (охл.) (лоток, мод. газ. ср.) 600г",бройлер,полуфабрикаты и субпродукты,люди,ферма
183436,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА ""Мортаделлия"" охл. в/с вар. (пакет, ГМС) 420г",птица,колбасы,люди,галерея вкуса
184902,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаса ""Мортаделлия"" охл. в/с вар. (пакет, ГМС) 620г",птица,колбасы,люди,галерея вкуса
243,"ГАЛЕРЕЯ ВКУСА Продукты разделки и обвалки мяса птицы. Филе утенка большое, охл. (в/у скин)",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
246,"ГАЛЕРЕЯ ВКУСА Мясо птицы. Окорочок утенка охлажд. (в/у ""Skin"")",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
247,ГАЛЕРЕЯ ВКУСА Мясо птицы. Тушка утенка 1 сорт (заморож.) (в/пак.),утка,полуфабрикаты и субпродукты,люди,галерея вкуса
249,"ГАЛЕРЕЯ ВКУСА Продукты разделки и обвалки мяса птицы. Плечевая часть крыла утенка  охлажд. (в/у ""Skin"")",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
2916,ГАЛЕРЕЯ ВКУСА Мясо птицы. Тушка утенка потр. 1 сорт охлажд. (в/у),утка,полуфабрикаты и субпродукты,люди,галерея вкуса
33668,ГАЛЕРЕЯ ВКУСА Печень цыплят-бройлеров глубокозам. (лоток) 800 г,бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
3611,ГАЛЕРЕЯ ВКУСА Продукт разделки и обвалки мяса птицы. Окорочок утенка бескостный охл. (в/у скин) охлажд.,утка,полуфабрикаты и субпродукты,люди,галерея вкуса
37571,Желудки мышечные цыплят-бройлеров ГАЛЕРЕЯ ВКУСА глубокозам. (лоток) 800г,бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
38236,Мясо птицы. Тушка цыпленка-бройлера ПРОИЗВОДСТВО охлажд. 1 сорт потр. (пакет),бройлер,полуфабрикаты и субпродукты,люди,производство
3897,"Колбаса салями из мяса птицы ВИТАЛЮР ""Сервелат Фирменный"" высший сорт в/к (иск/о,в/у)",птица,колбасы,люди,виталюр
3899,"Колбаса салями из мяса птицы ВИТАЛЮР ""Сервелат Фирменный"" высший сорт в/к (иск/об, в/у, порц.) 0,38кг",птица,колбасы,люди,виталюр
40569,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Рулет Царский"" высший сорт к/в (в/у трансп.)",птица,рулеты,люди,галерея вкуса
40712,"Сардельки ГАЛЕРЕЯ ВКУСА ""По-деревенски"" высший сорт (ГМС)",птица,сар,люди,галерея вкуса
4306,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Сервелат Финский утиный"" (текст.обол.) мясная охлажд. высший сорт в/к (в/у)",утка,колбасы,люди,галерея вкуса
4307,"Колбаски салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Кабаносы классик"" мясные охлажд. в/с в/к (ГМС, порц.) 180г",птица,колбасы,люди,галерея вкуса
4308,"Колбаски салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Кабаносы с фуа-гра"" мясные охлажд. в/с в/к (ГМС, порц.) 180г",птица,колбасы,люди,галерея вкуса
4309,"Продукт из субпродуктов птицы ГАЛЕРЕЯ ВКУСА ""Конфи. Желудки"" охлажд. жар. (в/п, порц.) 280г",птица,полуфабрикаты и субпродукты,люди,галерея вкуса
4310,"Продукт из мяса птицы кусковой ГАЛЕРЕЯ ВКУСА ""Конфи. Утиный окорочок"" жар. (в/у порц.) 460г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
52089,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Нежный"" мясной (охл.) (порц.) 180г",птица,паштеты,люди,галерея вкуса
5521,"Субпродукты птичьи. ГАЛЕРЕЯ ВКУСА  ноги цыплят-бройлеров глубокозамороженные, полиэтиленовый пакет по (фас) 1КГ",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
5912,Мясо птицы. Тушка цыпленка-бройлера охлажд. 1 сорт (ПРОИЗВОДСТВО) потр.,бройлер,полуфабрикаты и субпродукты,дети,производство
61835,"Сардельки из мяса птицы ГАЛЕРЕЯ ВКУСА ""По-деревенски"" высший сорт (малый пак/ГМС)",птица,сардельки,люди,галерея вкуса
6898,ГАЛЕРЕЯ ВКУСА Субпродукты птичьи: головы цыпленка-бройлера Глубокозамороженные (фас. меш.),бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
8358,Мясо птицы. ГАЛЕРЕЯ ВКУСА Тушка утки охлажд. 1 сорт потр. (пак. из пленки полимер. многосл. барьерной под вак.),утка,полуфабрикаты и субпродукты,люди,галерея вкуса
85782,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Снэки Люкс"" охлажд. к/в (в/у порц.) 230г",птица,копчености,люди,галерея вкуса
85906,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Ривьера"" сорт Экстра с/в (ГМС) 180г",курица,колбасы,люди,галерея вкуса
85907,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Пражская"" сорт Экстра с/в (ГМС) 180г",курица,колбасы,люди,галерея вкуса
86040,"Продукт цыплят-бройлеров ГАЛЕРЕЯ ВКУСА ""Копчик Европейский"" к/в (в/у) 230г",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
86256,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Снэки Европейские"" охлажд. к/в (в/у порц.) 230г",птица,копчености,люди,галерея вкуса
86384,"Хлеб колбасный из мяса птицы ГАЛЕРЕЯ ВКУСА ""Лионский Бушон"" охлажд. высший сорт (порц.) 570г",бройлер,колбасы,дети,галерея вкуса
88943,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Домашний"" (охл.) вар. (порц.) 180г",птица,паштеты,люди,галерея вкуса
94886,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Рулет Элитный"" высший сорт к/в (в/у трансп.)",птица,рулеты,люди,галерея вкуса
9499,"Продукты разделки и обвалки мяса птицы ГАЛЕРЕЯ ВКУСА Мясо бескостное кусковое грудной части утят ""Стейк утиный"" (в/у,скин-упак.)",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
99166,"Колбаса салями ГАЛЕРЕЯ ВКУСА ""Сервелат Финский"" (текст/обол.) мясная высший сорт в/к (в/у)",птица,колбасы,люди,галерея вкуса
